MachineID,ActionPoint,Sensor1,Sensor2,Sensor3,Sensor4,ServicePeriod,ErrorID_error1,ErrorID_error2,ErrorID_error3,ErrorID_error4,ErrorID_error5,ComponentReplacement_Component2,ComponentReplacement_Component3,ComponentReplacement_Component4,ComponentReplacement_Component1,ComponentAttended_Component2,ComponentAttended_Component3,ComponentAttended_Component4,ComponentAttended_Component1,ServiceType_ComponentRepair,ServiceType_ScheduledService,MachineModel_model2,MachineModel_model3,MachineModel_model4,MachineModel_model1
MID11001,ComponentRepair,171.27532753767568,444.69146257317004,100.89045528459327,40.34592037364569,168609,3.0,8.0,7.0,0.0,3.0,8.0,0.0,4.0,5.0,11.0,5.0,6.0,8.0,26.0,4.0,0.0,0.0,8029.0,0.0
MID11002,ComponentRepair,170.4001329967585,445.73498570182124,101.05130529419102,40.49045134255795,168462,0.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,0.0,6.0,11.0,6.0,5.0,27.0,1.0,0.0,0.0,0.0,8022.0
MID11003,NoIssue,170.77763649289116,446.12852389623254,100.59792247567955,40.54404497006728,176396,2.0,3.0,3.0,0.0,3.0,3.0,0.0,4.0,2.0,8.0,6.0,8.0,5.0,25.0,2.0,0.0,8018.0,0.0,0.0
MID11004,NoIssue,170.72713897480665,445.8044820279386,100.77828431030177,40.586979755550004,176396,4.0,4.0,4.0,1.0,4.0,3.0,0.0,5.0,1.0,7.0,7.0,7.0,5.0,23.0,3.0,0.0,0.0,8018.0,0.0
MID11005,ComponentRepair,170.81681201047704,446.05012491893166,100.76086546769767,40.56876811673741,176396,3.0,3.0,5.0,1.0,4.0,2.0,0.0,5.0,2.0,4.0,5.0,10.0,6.0,25.0,0.0,0.0,8018.0,0.0,0.0
MID11008,ComponentRepair,170.74641938660974,446.71439659643346,100.47227874080548,40.4466556489214,168441,4.0,2.0,3.0,2.0,3.0,2.0,0.0,5.0,2.0,4.0,4.0,7.0,11.0,25.0,1.0,0.0,8021.0,0.0,0.0
MID11009,ComponentReplacement,170.37772891521186,445.8324645137146,100.66686105735661,40.63362538653364,168420,1.0,2.0,2.0,0.0,5.0,2.0,0.0,8.0,0.0,2.0,7.0,9.0,9.0,27.0,0.0,0.0,0.0,8020.0,0.0
MID11010,ComponentRepair,170.8707040139608,446.265692545499,100.53297840064788,40.485000654450275,168462,2.0,3.0,3.0,0.0,3.0,5.0,0.0,4.0,4.0,7.0,5.0,10.0,7.0,25.0,4.0,0.0,8022.0,0.0,0.0
MID11011,ComponentRepair,170.51681763679417,445.6300962607521,101.08338130624473,40.43678965972818,168483,4.0,4.0,4.0,4.0,3.0,3.0,7.0,4.0,4.0,8.0,8.0,5.0,7.0,28.0,0.0,0.0,0.0,0.0,8023.0
MID11012,NoIssue,170.94740165897502,447.10461822377357,100.6479455756514,40.594547893226995,168357,3.0,1.0,1.0,0.0,5.0,1.0,0.0,7.0,2.0,7.0,6.0,7.0,4.0,24.0,0.0,0.0,0.0,8017.0,0.0
MID11013,NoIssue,170.89544517576638,447.46088176265005,100.61760355896286,40.473364355522236,176484,1.0,3.0,2.0,1.0,5.0,3.0,0.0,4.0,1.0,7.0,10.0,3.0,9.0,29.0,0.0,0.0,0.0,8022.0,0.0
